| SC | 項目 | golden | actual | 容忍 | 結果 |
|---|---|---|---|---|---|
| SC-2 | 鎖板 <09:05 n | 175 | 175 | ±5% | PASS |
| SC-2 | 鎖板 <09:05 med gap | +7.40% | +7.41% | ±0.5pp | PASS |
| SC-2 | 鎖板 <09:05 續鎖 | +18.30% | +18.29% | ±1pp | PASS |
| SC-2 | 鎖板 09:05-10:00 n | 322 | 322 | ±5% | PASS |
| SC-2 | 鎖板 09:05-10:00 med gap | +3.50% | +3.50% | ±0.5pp | PASS |
| SC-2 | 鎖板 09:05-10:00 續鎖 | +5.60% | +5.59% | ±1pp | PASS |
| SC-2 | 鎖板 10:00-12:00 n | 311 | 311 | ±5% | PASS |
| SC-2 | 鎖板 10:00-12:00 med gap | +2.40% | +2.37% | ±0.5pp | PASS |
| SC-2 | 鎖板 10:00-12:00 續鎖 | +6.80% | +6.75% | ±1pp | PASS |
| SC-2 | 鎖板 12:00-13:00 n | 125 | 125 | ±5% | PASS |
| SC-2 | 鎖板 12:00-13:00 med gap | +1.50% | +1.51% | ±0.5pp | PASS |
| SC-2 | 鎖板 12:00-13:00 續鎖 | +11.20% | +11.20% | ±1pp | PASS |
| SC-2 | 鎖板 13:00+ n | 90 | 90 | ±5% | PASS |
| SC-2 | 鎖板 13:00+ med gap | +0.60% | +0.57% | ±0.5pp | PASS |
| SC-2 | 鎖板 13:00+ 續鎖 | +4.40% | +4.44% | ±1pp | PASS |
| SC-3 | violent med gap | +6.20% | +4.03% | ±3pp | PASS |
| SC-3 | violent 續鎖 | +3.30% | +5.63% | ±3pp | PASS |
| SC-3 | natural_early 續鎖 | +18.30% | +18.71% | ±3pp,且 natural≫violent | PASS |
| SC-4 | 早盤鎖 >=40% med gap | +6.00% | +6.00% | ±0.5pp | PASS |
| SC-4 | 早盤鎖 >=40% 續鎖 | +13.20% | +13.23% | ±1pp | PASS |
| SC-4 | 早盤鎖 <15% 續鎖 | +0.00% | +0.00% | ±1pp | PASS |
| SC-5 | gap <0% n | 92 | 92 | ±5% | PASS |
| SC-5 | gap <0% E[開→收] | +0.72% | +0.72% | ±0.5pp | PASS |
| SC-5 | gap <0% 續鎖 | +2.20% | +2.17% | ±1pp | PASS |
| SC-5 | gap 0-1% n | 63 | 63 | ±5% | PASS |
| SC-5 | gap 0-1% E[開→收] | +0.26% | +0.26% | ±0.5pp | PASS |
| SC-5 | gap 0-1% 續鎖 | +4.80% | +4.76% | ±1pp | PASS |
| SC-5 | gap 1-3% n | 96 | 96 | ±5% | PASS |
| SC-5 | gap 1-3% E[開→收] | -1.60% | -1.60% | ±0.5pp | PASS |
| SC-5 | gap 1-3% 續鎖 | +0.00% | +0.00% | ±1pp | PASS |
| SC-5 | gap 3-7% n | 170 | 170 | ±5% | PASS |
| SC-5 | gap 3-7% E[開→收] | -1.64% | -1.64% | ±0.5pp | PASS |
| SC-5 | gap 3-7% 續鎖 | +9.40% | +9.41% | ±1pp | PASS |
| SC-5 | gap 7-9.5% n | 45 | 45 | ±5% | PASS |
| SC-5 | gap 7-9.5% E[開→收] | -3.47% | -3.47% | ±0.5pp | PASS |
| SC-5 | gap 7-9.5% 續鎖 | +6.70% | +6.67% | ±1pp | PASS |
| SC-5 | gap 漲停開 n | 76 | 76 | ±5% | PASS |
| SC-5 | gap 漲停開 E[開→收] | -1.26% | -1.26% | ±0.5pp | PASS |
| SC-5 | gap 漲停開 續鎖 | +26.30% | +26.32% | ±1pp | PASS |
| SC-6 | 競價 <3% med gap | +1.80% | +1.70% | ±0.5pp | PASS |
| SC-6 | 競價 3-8% med gap | +2.70% | +2.50% | ±0.5pp | PASS |
| SC-6 | 競價 >=8% med gap | +9.00% | +8.53% | ±0.5pp | PASS |

42/42 PASS
