actual jsonl cdp_cross (20260817.jsonl): 120
CDP events  baseline=127  new=89  reduction=29.9%
code  base  new
3532    11     7
2484     8     4
2492     8     2
3042     8     5
3105     8     2
3481     8     5
6415     7     3
6451     7     5
3026     6     6
4979     5     5
5483     5     4
6488     5     4
3450     4     4
6921     4     4
2344     3     2
2467     3     3
6213     3     2
6770     3     2
2337     2     2
2408     2     2
3006     2     2
3081     2     2
4958     2     2
6182     2     2
6207     2     1
8064     2     2
2327     1     1
3037     1     1
4989     1     1
8046     1     1
8358     1     1
2455     0     0
3189     0     0
SC-6 reduction>=25%: PASS; unchanged ('2408', '3006', '3037', '8064'): PASS
